Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%),TimeOut,Gap_numeric,ratio_n_capacity,ratio_capacity_n,Optimal_numeric
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_GeneticAlgorithm,26203,770.4145908355713,5000,False,-1,5.144077613669273,False,5.144077613669273,0.003938403371273286,253.91,0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_TabuSearch,27565,7788.250207901001,1000,True,-1,0.2135823921227918,False,0.2135823921227918,0.003938403371273286,253.91,1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Complete_MIP_ORTools,35617,79.07342910766602,45,True,-1,0.0,False,0.0,0.003446255643243616,290.17,1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Complete_MIP_PuLP,35617,110.07094383239746,-1,True,-1,0.0,False,0.0,0.003446255643243616,290.17,1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_Greedy_Simple,35372,0.0,0,True,-1,0.6878737681444255,False,0.6878737681444255,0.003446255643243616,290.17,1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_Greedy_Random_k3,35374,9.038448333740234,0,True,-1,0.6822584720779403,False,0.6822584720779403,0.003446255643243616,290.17,1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_Greedy_Probabilistic_alpha0.9,34400,11.452198028564451,0,False,-1,3.416907656456187,False,3.416907656456187,0.003446255643243616,290.17,0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_SimulatedAnnealing,35598,913.0489826202391,10388,True,-1,0.0533453126316085,False,0.0533453126316085,0.003446255643243616,290.17,1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_GeneticAlgorithm,34598,638.577938079834,5000,False,-1,2.860993345874161,False,2.860993345874161,0.003446255643243616,290.17,0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_TabuSearch,35411,6536.767244338989,1000,True,-1,0.5783754948479659,False,0.5783754948479659,0.003446255643243616,290.17,1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Complete_MIP_ORTools,30467,51.43523216247559,32,True,-1,0.0032821320729946174,False,0.0032821320729946174,0.002943947244465379,339.68,1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Complete_MIP_PuLP,30468,205.965518951416,-1,True,-1,0.0,False,0.0,0.002943947244465379,339.68,1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_Greedy_Simple,30463,0.0,0,True,-1,0.016410660364973087,False,0.016410660364973087,0.002943947244465379,339.68,1
