Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_TabuSearch,46394,8220.534801483154,1000,false,-1,-1.0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Complete_MIP_ORTools,41049,21.17156982421875,0,true,-1,-1.0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Complete_MIP_PuLP,41049,90.46220779418945,-1,true,-1,-1.0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_Greedy_Simple,41049,0.9977817535400391,0,false,-1,-1.0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_Greedy_Random_k3,40787,13.279438018798828,0,false,-1,-1.0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_Greedy_Probabilistic_alpha0.9,33508,7.374286651611328,0,false,-1,-1.0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_SimulatedAnnealing,41049,2041.1779880523682,10344,false,-1,-1.0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_GeneticAlgorithm,38834,1201.4946937561035,5000,false,-1,-1.0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_TabuSearch,41049,10017.505884170532,1000,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Complete_MIP_ORTools,31064,135.33544540405273,14,true,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Complete_MIP_PuLP,31064,153.39970588684082,-1,true,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_Greedy_Simple,31012,0.0,0,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_Greedy_Random_k3,30996,4.985570907592773,0,false,-1,-1.0
